Keywords,Event ID,Title,Organizer,Start (PT),Address,Description,URL,Fee
"career, professional",1363502696269,Dual Lean Six Sigma Green & Black Exam Prep In-Person Course in San Diego,"Certification Planner, LLC ""Your Learning Club""",2025-07-15 06:00,"501 W Broadway Suite 800, San Diego, CA, 92101, US",Dual Lean Six Sigma Green & Black Belt 4 days in-person guaranteed training with 100% pass guarantee & Exam Voucher in over 120 cities.,https://www.eventbrite.com/e/dual-lean-six-sigma-green-black-exam-prep-in-person-course-in-san-diego-tickets-1363502696269,USD 1999.00
"career, professional",1363502636089,Dual Lean Six Sigma Green & Black Exam Prep In-Person CourseinOrange County,"Certification Planner, LLC ""Your Learning Club""",2025-07-15 06:00,"333 City Blvd W 3rd & 17th Floor, Orange County, CA, 92868, US",Dual Lean Six Sigma Green & Black Belt 4 days in-person guaranteed training with 100% pass guarantee & Exam Voucher in over 120 cities.,https://www.eventbrite.com/e/dual-lean-six-sigma-green-black-exam-prep-in-person-courseinorange-county-tickets-1363502636089,USD 1999.00
"career, professional",1363491903989,"Dual Lean Six Sigma Green & Black Exam Prep In-Person Course in Irvine,CA","Certification Planner, LLC ""Your Learning Club""",2025-07-15 06:00,"300 Spectrum Center Dr Suite 400, Irvine, CA, 92614, US",Dual Lean Six Sigma Green & Black Belt 4 days in-person guaranteed training with 100% pass guarantee & Exam Voucher in over 120 cities.,https://www.eventbrite.com/e/dual-lean-six-sigma-green-black-exam-prep-in-person-course-in-irvineca-tickets-1363491903989,USD 1999.00
"career, professional",1363502585939,Dual Lean Six Sigma Green & Black Exam Prep In-Person Course in Los Angeles,"Certification Planner, LLC ""Your Learning Club""",2025-07-15 06:00,"445 S Figueroa St Suites 3100, Los Angeles, CA, 90071, US",Dual Lean Six Sigma Green & Black Belt 4 days in-person guaranteed training with 100% pass guarantee & Exam Voucher in over 120 cities.,https://www.eventbrite.com/e/dual-lean-six-sigma-green-black-exam-prep-in-person-course-in-los-angeles-tickets-1363502585939,USD 1999.00
"career, professional",1321726342069,In-Person PMP Exam Prep Course in Orange County,"Certification Planner, LLC",2025-07-15 08:00,"333 City Blvd W 3rd & 17th Floor, Orange County, CA, 92868, US",PMI Project Management Professional(PMP) Guaranteed to Run In-Person and Online Classes Every Week.,https://www.eventbrite.com/e/in-person-pmp-exam-prep-course-in-orange-county-tickets-1321726342069,USD 1799.00
"career, professional",1321726311979,In-Person PMP Exam Prep Course in Los Angeles,"Certification Planner, LLC",2025-07-15 08:00,"445 S Figueroa St Suites 3100, Los Angeles, CA, 90071, US",PMI Project Management Professional(PMP) Guaranteed to Run In-Person and Online Classes Every Week.,https://www.eventbrite.com/e/in-person-pmp-exam-prep-course-in-los-angeles-tickets-1321726311979,USD 1799.00
"career, professional",1325866836399,In-Person Dual Lean Six Sigma Green and Black Belt Training in San Diego,"Certification Planner, LLC",2025-07-15 09:00,"501 W Broadway Suite 800, San Diego, CA, 92101, US","Join our Lean Six Sigma Green Belt and Black Belt Combo Certification Workshop. Elevate your skills, drive change & earn dual certifications",https://www.eventbrite.com/e/in-person-dual-lean-six-sigma-green-and-black-belt-training-in-san-diego-tickets-1325866836399,USD 1999.00
"career, professional",1411560287819,"10 Essential Career-Boosting Skills Workshop in Los Angeles, CA",Mount Skills,2025-07-15 09:00,"811 W 7th St, PH: +1 469 666 9332, Los Angeles, CA, 90017, US",Join our 1-day workshop to learn how to train trainers effectively in just one day!,https://www.eventbrite.sg/e/10-essential-career-boosting-skills-workshop-in-los-angeles-ca-tickets-1411560287819,"(USD 595.00, USD 795.00)"
career,1360315011819,"Transform Your Life with 10 Key Skills - 1 day Workshop in Ontario, CA",Mangates,2025-07-15 09:00,"3200 East Guasti Road, #Suite 100, Ontario, CA, 91761, US","Master 10 key soft skills in 1 day to boost communication, confidence, teamwork & adaptability for career & personal growth.",https://www.eventbrite.sg/e/transform-your-life-with-10-key-skills-1-day-workshop-in-ontario-ca-tickets-1360315011819,"(USD 595.00, USD 795.00)"
"leaders, leadership, professional",1336394254189,"Ignite Your Leadership: Lead Teams to Success Workshop in Los Angeles, CA",Academy for Pros,2025-07-15 09:00,"811 West 7th Street, +1 469 666 9332, Los Angeles, CA, 90017, US","Leadership training builds stronger teams, boosts morale, improves communication, and drives organizational success.",https://www.eventbrite.com/e/ignite-your-leadership-lead-teams-to-success-workshop-in-los-angeles-ca-tickets-1336394254189,"(USD 595.00, USD 795.00)"
"career, professional",1388643312529,Passport to Volunteering,MCFTB MCRD San Diego,2025-07-15 10:00,"3800 Chosin Avenue, San Diego, CA, 92140, US",Learn about the significance of volunteering. Must have base access. Base access sponsorship is not available for this event.,https://www.eventbrite.com/e/passport-to-volunteering-tickets-1388643312529,free
"leaders, professional",1388535520119,MetroConnect Meet the Certifiers,Metro Connect,2025-07-15 10:00,"1 Gateway Plaza, Los Angeles, CA, 90012, US","This event will bring together agencies, certifiers, industry leaders, to foster growth in the small business community.",https://www.eventbrite.com/e/metroconnect-meet-the-certifiers-tickets-1388535520119,free
"career, leaders, leadership, professional",1375136011829,Busting the Balance Myth: A Women's Leadership Workshop with Randi Braun,Something Major,2025-07-15 13:00,"714 North La Cienega Boulevard, Los Angeles, CA, 90069, US","Join WSJ Best-Selling Author & Executive Coach, Randi Braun, for an intimate workshop.",https://www.eventbrite.com/e/busting-the-balance-myth-a-womens-leadership-workshop-with-randi-braun-tickets-1375136011829,"(USD 125.00, USD 145.00)"
professional,1407886579659,From Vision to Venture: Attracting Angel Investors,County of San Diego Black Chamber of Commerce,2025-07-15 17:00,"1100 Market Street, San Diego, CA, 92101, US","This workshop is your launchpad to angel and VC investment. Designed for underrepresented founders, entrepreneurs, and small business owners",https://www.eventbrite.com/e/from-vision-to-venture-attracting-angel-investors-tickets-1407886579659,free
"career, professional",1104622849679,North OC Full Arch Study Club,Dental Implants GPS & Niguel Coast Oral and Facial Surgery,2025-07-15 17:30,"9950 Slater Road, Fountain Valley, CA, 92708, US",Co-managed Care Partnership and Full Arch Study Club,https://www.eventbrite.com/e/north-oc-full-arch-study-club-tickets-1104622849679,free
development,1333489706609,Psychic Development | with Illumination,BOTI Studios,2025-07-15 19:00,"607 South Harbor Boulevard, Anaheim, CA, 92805, US","Unlock your intuition, read energy, and channel light language to expand your consciousness and connect with the universal field.",https://www.eventbrite.com/e/psychic-development-with-illumination-tickets-1333489706609,USD 25.00
"career, professional",1216410559729,Tri City Professionals Chapter Networking Event: Collaborate and Thrive,TEAM Referral Network,2025-07-16 08:00,"15922 Gale Avenue, Hacienda Heights, CA, 91745, US","Join the Tri City Professionals Chapter of TEAM Referral Network, for a networking experience where referrals and collaboration take stage",https://www.eventbrite.com/e/tri-city-professionals-chapter-networking-event-collaborate-and-thrive-tickets-1216410559729,free
professional,1216436417069,TEAM Legacy SFV Networking Event: Strengthen Your Connections,TEAM Referral Network,2025-07-16 08:15,"777 North Maclay Avenue, San Fernando, CA, 91340, US",Northeast Valley-San Fernando Networking Event: Elevate Your Business with Referrals and Quality Business Partnerships,https://www.eventbrite.com/e/team-legacy-sfv-networking-event-strengthen-your-connections-tickets-1216436417069,free
"career, professional",1269543993259,In-Person PMI ACP Exam Prep Course in Irvine,"Certification Planner, LLC",2025-07-16 09:00,"300 Spectrum Center Drive, #suite 400, Irvine, CA, 92618, US",PMI Agile Certified Practitioner(PMI-ACP) Guaranteed to Run In-Person and Online Classes Every Week.,https://www.eventbrite.com/e/in-person-pmi-acp-exam-prep-course-in-irvine-tickets-1269543993259,USD 1799.00
professional,1291490897039,Business Networking Lunch & Learn in Anaheim,John Ortiz,2025-07-16 11:30,"250 East Center Street, The Boardroom, Anaheim, CA, 92805, US","This is not a ""Business Card Exchange"" networking event. Confirm Your Eligibility Before Your Buy a Ticket. #RelationshipsGenerateRevenue.",https://www.eventbrite.com/e/business-networking-lunch-learn-in-anaheim-tickets-1291490897039,"(USD 20.00, USD 40.00)"
professional,1216461161079,Unlock Your Business Potential at Inland Empire Power Partners,TEAM Referral Network,2025-07-16 11:30,"1041 East 16th Street, Upland, CA, 91784, US",Inland Empire Power Partners  Networking Event: Elevate Your Business with Referrals and Quality Business Partnerships,https://www.eventbrite.com/e/unlock-your-business-potential-at-inland-empire-power-partners-tickets-1216461161079,free
professional,1216473327469,Unlock Your Business Potential at Trusted Referral Partners,TEAM Referral Network,2025-07-16 15:00,"27307 Vía Industria, #K-1, Temecula, CA, 92590, US","Discover a networking experience with the Trusted Referral Partners chapter of TEAM Referral Network, where entrepreneurship meets community",https://www.eventbrite.com/e/unlock-your-business-potential-at-trusted-referral-partners-tickets-1216473327469,free
professional,1381145065069,Hospitality and Business Networking | Elevating Your Potential - San Diego,Strive Networking,2025-07-16 18:00,"655 Fourth Avenue, San Diego, CA, 92101, US","Strive welcomes you to 'Hospitality and Business Networking', an event for tenured and newcomers at Garage Bar! Event is 21+.",https://www.eventbrite.com/e/hospitality-and-business-networking-elevating-your-potential-san-diego-tickets-1381145065069,"(USD 15.70, free, free, USD 19.82)"
professional,1381140972829,Politics and Business Networking | Elevating Your Potential - San Diego,Strive Networking,2025-07-16 18:00,"655 Fourth Avenue, San Diego, CA, 92101, US","Strive welcomes you to 'Politics and Business Networking', an event for tenured and newcomers at Garage Bar! Event is 21+. Limited Tickets",https://www.eventbrite.com/e/politics-and-business-networking-elevating-your-potential-san-diego-tickets-1381140972829,"(USD 15.70, free, free, USD 19.82)"
professional,1381140912649,Non-Profits and Business Networking | Elevating Your Potential - San Diego,Strive Networking,2025-07-16 18:00,"655 Fourth Avenue, San Diego, CA, 92101, US","Strive welcomes you to 'Non-Profits and Business Networking', an event for tenured and newcomers at Garage Bar! Event is 21+.",https://www.eventbrite.com/e/non-profits-and-business-networking-elevating-your-potential-san-diego-tickets-1381140912649,"(USD 15.70, USD 15.70, free, free, USD 19.82)"
professional,1415632287279,Orange County Pharma & Business Networking Event,SUM OF FIVE USA,2025-07-16 19:00,"725 Baker Street, Costa Mesa, CA, 92626, US","SUM OF FIVE | Meet Established Professionals In Healthcare, Pharma & Business | Wednesday, July16th from 7:00pm-9:00pm",https://www.eventbrite.ca/e/orange-county-pharma-business-networking-event-tickets-1415632287279,"(USD 13.00, USD 15.00, USD 18.00, USD 15.00)"
professional,1231038231489,"Organizational Skills 1 Day Training in Bakersfield, CA",Mangates,2025-07-16 20:30,"5701 Truxtun Ave. Suite 220, PH: +1 469 666 9332, Bakersfield, CA, 93309, US",Our classroom  and corporate training provides you the opportunity to interact with instructors and benefit from face-to-face instruction.,https://www.eventbrite.sg/e/organizational-skills-1-day-training-in-bakersfield-ca-tickets-1231038231489,"(USD 595.00, USD 795.00)"
professional,1232361318879,"Christian Business Partners - Redlands, CA",Alex Giannetti,2025-07-17 07:45,"459 East Highland Avenue, Redlands, CA, 92373, US","Our mission is to build God’s kingdom, by giving  business  referrals in a Christ-centered environment of relationship and trust.",https://www.eventbrite.com/e/christian-business-partners-redlands-ca-tickets-1232361318879,free
professional,1263894134379,"Power BI for Report Developers 1 Day Training  in Bakersfield, CA",Mangates,2025-07-17 08:00,"5701 Truxtun Ave. Suite 220, PH: +1 469 666 9332, Bakersfield, CO, 93309, US",Boost your reporting skills with a one-day immersive Power BI training!,https://www.eventbrite.sg/e/power-bi-for-report-developers-1-day-training-in-bakersfield-ca-tickets-1263894134379,"(USD 595.00, USD 795.00)"
"leaders, leadership, professional",1335106221649,"Ignite Your Leadership: Lead Teams to Success Workshop in Bakersfield, CA",Academy for Pros,2025-07-17 09:00,"5701 Truxtun Ave. Suite 220, =+1 469 666 9332, Bakersfield, CA, 93309, US","Leadership training builds stronger teams, boosts morale, improves communication, and drives organizational success.",https://www.eventbrite.com/e/ignite-your-leadership-lead-teams-to-success-workshop-in-bakersfield-ca-tickets-1335106221649,"(USD 595.00, USD 795.00)"
"career, professional",1350767013499,Manager Anti-Harassment Training,"Kasper Group, Law Corporation",2025-07-17 10:00,"7750 El Camino Real, #suite 2d, Carlsbad, CA, 92009, US",Need to get California-required anti-harassment training for a manager or group of managers ASAP? The Kasper Group can help.,https://www.eventbrite.com/e/manager-anti-harassment-training-tickets-1350767013499,"(USD 200.00, USD 200.00)"
professional,1299404857909,"Microdosing Psychedelics: Benefits, Risks, and Professional Opportunities",Inner Circle,2025-07-17 15:00,"Private, San Diego, CA, 92003, US",Event limited to 25 guests. We are a group of plant medicine enthusiasts looking to connect with the greater community & provide education,https://www.eventbrite.com/e/microdosing-psychedelics-benefits-risks-and-professional-opportunities-tickets-1299404857909,"(USD 75.00, USD 50.00, USD 150.00, USD 100.00)"
professional,1054492889619,SD Networking Events - July 2025 Health and Wellness Summit,SD Networking Events - JMH Marketing Group,2025-07-17 16:00,"1100 Market Street, San Diego, CA, 92101, US",SD Networking Events - July 2025 Health and Wellness Summit,https://www.eventbrite.com/e/sd-networking-events-july-2025-health-and-wellness-summit-tickets-1054492889619,"(USD 39.00, USD 19.50, USD 59.00, USD 149.00, USD 199.00, USD 750.00, USD 1495.00)"
"career, professional",1392865100009,"EmpowerHER!  ""How to Track Business Metrics Without Feeling Overwhelmed!""",NAWBO San Diego,2025-07-17 16:00,"3919 Townsgate Drive, San Diego, CA, 92130, US",This is essential for sustainable growth.,https://www.eventbrite.com/e/empowerher-how-to-track-business-metrics-without-feeling-overwhelmed-tickets-1392865100009,"(USD 20.00, USD 35.00)"
professional,1261705889279,Launch Savings Workshop,Government Relations & Advocacy,2025-07-17 17:00,"508 West Willow Street, Long Beach, CA, 90806, US","Join us for help on how to save. Free food, prizes and transportation will be provided.",https://www.eventbrite.com/e/launch-savings-workshop-tickets-1261705889279,free
professional,1373286670399,Golden Hour Gathering: LA Insights Summer Mixer,Insights Association West Chapter,2025-07-17 17:30,"1740 Ocean Avenue, Santa Monica, CA, 90401, US","Join us for a summer evening that’s all about good conversations, fresh cocktails, and connecting with the incredible LA insights community.",https://www.eventbrite.com/e/golden-hour-gathering-la-insights-summer-mixer-tickets-1373286670399,"(USD 20.00, USD 45.00)"
"career, professional",1275380159389,Anaheim Club 2 Toastmasters Meeting,Cristian Dubon,2025-07-17 18:30,"501 North Brookhurst Street, Anaheim, CA, 92801, US",Join us at the Anaheim Club 2 Toastmasters Meeting for a fun and engaging evening of public speaking practice and networking!,https://www.eventbrite.com/e/anaheim-club-2-toastmasters-meeting-tickets-1275380159389,free
professional,1290269313249,"Realty411's ""Invest in Real Estate with Confidence"" Summit and Expo 2025",Realty411.com,2025-07-19 08:30,"25135 Park Lantern, Dana Point, CA, 92629, US","Join Us to Meet with Fantastic Companies and Network with Experienced Real Estate Investors in Orange County, California.",https://www.eventbrite.com/e/realty411s-invest-in-real-estate-with-confidence-summit-and-expo-2025-tickets-1290269313249,"(free, USD 27.00, USD 47.00, USD 23.50, USD 27.00, USD 47.00)"
"career, leading, professional",1249186964839,"PMP Live Instructor Led Certification Training Bootcamp Solana Beach, CA",Shine BrightX is a Leading Training Providers,2025-07-19 09:00,"Solana Beach, Solana Beach, CA, 92014, US",Join our PMP Online Certification Training Bootcamp Course to boost your project management skills!,https://www.eventbrite.com/e/pmp-live-instructor-led-certification-training-bootcamp-solana-beach-ca-tickets-1249186964839,USD 450.00
"career, leading, professional",1255316829429,"PMP Live Instructor Led Certification Training Bootcamp Coronado, CA",Shine BrightX is a Leading Training Providers,2025-07-19 09:00,"Coronado, Coronado, CA, 91932, US",Join our PMP Online Certification Training Bootcamp Course to boost your project management skills!,https://www.eventbrite.com/e/pmp-live-instructor-led-certification-training-bootcamp-coronado-ca-tickets-1255316829429,USD 450.00
"career, leading, professional",1249872665789,"PMP Live Instructor Led Certification Training Bootcamp Alpine, CA",Shine BrightX is a Leading Training Providers,2025-07-19 09:00,"Alpine, Alpine, CA, 91901, US",Join our PMP Online Certification Training Bootcamp Course to boost your project management skills!,https://www.eventbrite.com/e/pmp-live-instructor-led-certification-training-bootcamp-alpine-ca-tickets-1249872665789,USD 450.00
"career, leading, professional",1249224266409,"PMP Live Instructor Led Certification Training Bootcamp San Marino, CA",Shine BrightX is a Leading Training Providers,2025-07-19 09:00,"San Marino, San Marino, CA, 91108, US",Join our PMP Online Certification Training Bootcamp Course to boost your project management skills!,https://www.eventbrite.com/e/pmp-live-instructor-led-certification-training-bootcamp-san-marino-ca-tickets-1249224266409,USD 450.00
"career, leading, professional",1255278434589,"PMP Live Instructor Led Certification Training Casa de Oro-Mount Helix, CA",Shine BrightX is a Leading Training Providers,2025-07-19 09:00,"Casa de Oro-Mount Helix, Casa de Oro-Mount Helix, CA, 91941, US",Join our PMP Online Certification Training Bootcamp Course to boost your project management skills!,https://www.eventbrite.com/e/pmp-live-instructor-led-certification-training-casa-de-oro-mount-helix-ca-tickets-1255278434589,USD 450.00
"career, leading, professional",1247148377369,"PMP Live Instructor Led Certification Training View Park-Windsor Hills, CA",Shine BrightX is a Leading Training Providers,2025-07-19 09:00,"View Park-Windsor Hills, View Park-Windsor Hills, CA, 90008, US",Join our PMP Online Certification Training Bootcamp Course to boost your project management skills!,https://www.eventbrite.com/e/pmp-live-instructor-led-certification-training-view-park-windsor-hills-ca-tickets-1247148377369,USD 450.00
"career, leading, professional",1249262280109,"PMP Live Instructor Led Certification Training Bootcamp Coalinga, CA",Shine BrightX is a Leading Training Providers,2025-07-19 09:00,"Coalinga, Coalinga, CA, 93210, US",Join our PMP Online Certification Training Bootcamp Course to boost your project management skills!,https://www.eventbrite.com/e/pmp-live-instructor-led-certification-training-bootcamp-coalinga-ca-tickets-1249262280109,USD 450.00
"career, leading, professional",1247131536999,"PMP Live Instructor Led Certification Training Bootcamp Signal Hill, CA",Shine BrightX is a Leading Training Providers,2025-07-19 09:00,"Signal Hill, Signal Hill, CA, 90755, US",Join our PMP Online Certification Training Bootcamp Course to boost your project management skills!,https://www.eventbrite.com/e/pmp-live-instructor-led-certification-training-bootcamp-signal-hill-ca-tickets-1247131536999,USD 450.00
"career, leading, professional",1249270334199,"PMP Live Instructor Led Certification Training Palos Verdes Estates, CA",Shine BrightX is a Leading Training Providers,2025-07-19 09:00,"Palos Verdes Estates, Palos Verdes Estates, CA, 90274, US",Join our PMP Online Certification Training Bootcamp Course to boost your project management skills!,https://www.eventbrite.com/e/pmp-live-instructor-led-certification-training-palos-verdes-estates-ca-tickets-1249270334199,USD 450.00
"career, leading, professional",1251089846409,"PMP Live Instructor Led Certification Training East Rancho Dominguez, CA",Shine BrightX is a Leading Training Providers,2025-07-19 09:00,"East Rancho Dominguez, East Compton, CA, 90221, US",Join our PMP Online Certification Training Bootcamp Course to boost your project management skills!,https://www.eventbrite.com/e/pmp-live-instructor-led-certification-training-east-rancho-dominguez-ca-tickets-1251089846409,USD 450.00
professional,1219780128199,Master Your Camera Controls - Photography Workshop,Digital Photo Academy,2025-07-19 09:30,"2816 Historic Decatur Road, #unit 116, San Diego, CA, 92106, US",Photography Workshop lead by Professional Photographer,https://www.eventbrite.com/e/master-your-camera-controls-photography-workshop-tickets-1219780128199,USD 90.00
"career, professional",1391134624109,HANDS ON TRAINING WITH TIFFANY HARMS - RIVERSIDE,Tiffany Harms,2025-07-19 09:30,"5925 Sycamore Canyon Boulevard, Riverside, CA, 92507, US",Are you a notary and need hands on loan signing training? THIS CLASS IS FOR YOU,https://www.eventbrite.com/e/hands-on-training-with-tiffany-harms-riverside-tickets-1391134624109,USD 180.00
"planning, professional",1406110507379,Retirement Planning workshop,DELANA WELCH,2025-07-19 10:00,"12350 Del Amo Boulevard, Lakewood, CA, 90715, US","""Unlock the secrets to a secure retirement and build generational wealth for your family!""",https://www.eventbrite.com/e/retirement-planning-workshop-tickets-1406110507379,"(free, free)"
"leaders, leadership, professional",1338161249319,"Ignite Your Leadership: Lead Teams to Success Workshop in Anaheim, CA",Academy for Pros,2025-07-21 06:00,"+1 469 666 9332, Anaheim, CA, 92801, US","Leadership training builds stronger teams, boosts morale, improves communication, and drives organizational success.",https://www.eventbrite.com/e/ignite-your-leadership-lead-teams-to-success-workshop-in-anaheim-ca-tickets-1338161249319,"(USD 595.00, USD 795.00)"
professional,1260578928509,"Master the Art of CV Writing 1 Day Workshop in Bakersfield, CA",Mangates,2025-07-21 08:00,"5701 Truxtun Ave. Suite 220, PH: +1 469 666 9332, Bakersfield, CA, 93309, US",Learn how to craft the perfect CV in just one day at our workshop !,https://www.eventbrite.sg/e/master-the-art-of-cv-writing-1-day-workshop-in-bakersfield-ca-tickets-1260578928509,"(USD 595.00, USD 795.00)"
"career, professional",1400381050419,PMP Pass Guarantee In-Person Training in Los Angeles,North America's Largest Training and Certification Provider,2025-07-21 16:00,"445 S Figueroa St Suites 3100, Los Angeles, CA, 90071, US","Guarantee to run in-person PMP exam prep course with pass guarantee, certified instructors and official course materials.",https://www.eventbrite.com/e/pmp-pass-guarantee-in-person-training-in-los-angeles-tickets-1400381050419,USD 1799.00
"career, professional",1375066654379,Six Sigma Black Belt Course with Exam Voucher Training in Los Angeles,North America's Largest Training and Certification Provider,2025-07-21 16:00,"445 S Figueroa St Suites 3100, Los Angeles, CA, 90071, US","Guarantee to run in-person Lean Six Sigma Black Belt exam prep course with pass guarantee, certified instructors and exam voucher.",https://www.eventbrite.com/e/six-sigma-black-belt-course-with-exam-voucher-training-in-los-angeles-tickets-1375066654379,USD 1999.00
"career, professional",1407755256869,CAPM Pass Guarantee In-Person Training in Los Angeles,North America's Largest Training and Certification Provider,2025-07-21 16:00,"445 S Figueroa St Suites 3100, Los Angeles, CA, 90071, US","Guarantee to run in-person CAPM exam prep course with pass guarantee, certified instructors and official course materials.",https://www.eventbrite.com/e/capm-pass-guarantee-in-person-training-in-los-angeles-tickets-1407755256869,USD 1799.00
"career, professional",1400384972149,PMP Pass Guarantee In-Person Training in San Diego,North America's Largest Training and Certification Provider,2025-07-21 16:00,"501 W Broadway Suite 800, San Diego, CA, 92101, US","Guarantee to run in-person PMP exam prep course with pass guarantee, certified instructors and official course materials.",https://www.eventbrite.com/e/pmp-pass-guarantee-in-person-training-in-san-diego-tickets-1400384972149,USD 1799.00
"career, professional",1375066614259,Six Sigma Black Belt Course with Exam Voucher Training in Irvine,North America's Largest Training and Certification Provider,2025-07-21 16:00,"300 Spectrum Center Dr Suite 400, Irvine, CA, 92614, US","Guarantee to run in-person Lean Six Sigma Black Belt exam prep course with pass guarantee, certified instructors and exam voucher.",https://www.eventbrite.com/e/six-sigma-black-belt-course-with-exam-voucher-training-in-irvine-tickets-1375066614259,USD 1999.00
"career, professional",1407749469559,CAPM Pass Guarantee In-Person Training in Irvine,North America's Largest Training and Certification Provider,2025-07-21 16:00,"300 Spectrum Center Dr Suite 400, Irvine, CA, 92614, US","Guarantee to run in-person CAPM exam prep course with pass guarantee, certified instructors and official course materials.",https://www.eventbrite.com/e/capm-pass-guarantee-in-person-training-in-irvine-tickets-1407749469559,USD 1799.00
professional,1261823160039,Grow Your Biz: Pro Branding & Social Selling Online Event (Los Angeles),experiencethegrowthjourney@outlook.com,2025-07-21 17:00,"Online, Los Angeles, CA, 90011, US","Imagine the potential to grow your business, build strong networks,  and gain insights for lasting success. Join us to reach new heights!",https://www.eventbrite.com/e/grow-your-biz-pro-branding-social-selling-online-event-los-angeles-tickets-1261823160039,free
professional,1270054319659,Grow Your Biz: Pro Branding & Social Selling Online Event (Glendale),experiencethegrowthjourney@outlook.com,2025-07-21 17:00,"Online, Glendale, CA, 91205, US","Imagine the potential to grow your business, build strong networks,  and gain insights for lasting success. Join us to reach new heights!",https://www.eventbrite.com/e/grow-your-biz-pro-branding-social-selling-online-event-glendale-tickets-1270054319659,free
professional,1126440466759,Grow Your Biz: Pro Branding & Social Selling Online Event (San Diego),experiencethegrowthjourney@outlook.com,2025-07-21 17:00,"Online, San Diego, CA, 92154, US","Imagine the potential to grow your business, build strong networks,  and gain insights for lasting success. Join us to reach new heights!",https://www.eventbrite.com/e/grow-your-biz-pro-branding-social-selling-online-event-san-diego-tickets-1126440466759,free
professional,1261833270279,Grow Your Biz: Pro Branding & Social Selling Online Event (Oxnard),experiencethegrowthjourney@outlook.com,2025-07-21 17:00,"Online, Oxnard, CA, 93033, US","Imagine the potential to grow your business, build strong networks,  and gain insights for lasting success. Join us to reach new heights!",https://www.eventbrite.com/e/grow-your-biz-pro-branding-social-selling-online-event-oxnard-tickets-1261833270279,free
professional,1126856410859,Grow Your Biz: Pro Branding & Social Selling Online Event (Riverside),experiencethegrowthjourney@outlook.com,2025-07-21 17:00,"Online, Riverside, CA, 92503, US","Imagine the potential to grow your business, build strong networks,  and gain insights for lasting success. Join us to reach new heights!",https://www.eventbrite.com/e/grow-your-biz-pro-branding-social-selling-online-event-riverside-tickets-1126856410859,free
professional,1236770326339,Grow Your Biz: Pro Branding & Social Selling Online Event (Chula Vista),experiencethegrowthjourney@outlook.com,2025-07-21 17:00,"Online, Chula Vista, CA, 91911, US","Imagine the potential to grow your business, build strong networks,  and gain insights for lasting success. Join us to reach new heights!",https://www.eventbrite.com/e/grow-your-biz-pro-branding-social-selling-online-event-chula-vista-tickets-1236770326339,free
"career, professional",1309015172619,Pursuing Peace & Purpose for Empaths & Highly Sensitives - San Diego,Instant Ease With Presh,2025-07-21 18:00,"San Diego, San Diego, CA, 92101, US","Join this 3-day online workshop ($55, now FREE for a limited time!) to kickstart your Pursuit of Peace & Purpose as an empath or HSP.",https://www.eventbrite.com/e/pursuing-peace-purpose-for-empaths-highly-sensitives-san-diego-tickets-1309015172619,USD 55.00
"career, professional",1309116545829,Pursuing Peace & Purpose for Empaths & Highly Sensitives - El Monte,Instant Ease With Presh,2025-07-21 18:00,"El Monte, El Monte, CA, 91731, US","Join this 3-day online workshop ($55, now FREE for a limited time!) to kickstart your Pursuit of Peace & Purpose as an empath or HSP.",https://www.eventbrite.com/e/pursuing-peace-purpose-for-empaths-highly-sensitives-el-monte-tickets-1309116545829,USD 55.00
"career, professional",1309187407779,Pursuing Peace & Purpose for Empaths & Highly Sensitives - Moreno Valley,Instant Ease With Presh,2025-07-21 18:00,"Moreno Valley, Moreno Valley, CA, 92553, US","Join this 3-day online workshop ($55, now FREE for a limited time!) to kickstart your Pursuit of Peace & Purpose as an empath or HSP.",https://www.eventbrite.com/e/pursuing-peace-purpose-for-empaths-highly-sensitives-moreno-valley-tickets-1309187407779,USD 55.00
"career, professional",996765391117,"Accelerated Project Management Program in Torrance, CA",Learners Ink,2025-07-22 06:00,"2790 Skypark Drive, Torrance, CA, 90505, US","Professionals undergoing the PMP course gain insights into project governance, including ethical considerations, compliance, and regulatory.",https://www.eventbrite.com/e/accelerated-project-management-program-in-torrance-ca-tickets-996765391117,USD 1599.00
"career, professional",1002284579157,"4 Day PMP Workflow Training in Santa Ana, CA",Learners Ink,2025-07-22 06:00,"1100 Town and Country Road, Orange, CA, 92868, US","Professionals undergoing the PMP course gain insights into project governance, including ethical considerations, compliance, and regulatory.",https://www.eventbrite.com/e/4-day-pmp-workflow-training-in-santa-ana-ca-tickets-1002284579157,USD 1599.00
"career, professional",972090949197,"4 Day PMP Live Instructor Led Certification Training In Garden Grove, CA",Learners Ink,2025-07-22 06:00,"333 City Boulevard West, Orange, CA, 92868, US","Professionals undergoing the PMP course gain insights into project governance, including ethical considerations, compliance, and regulatory.",https://www.eventbrite.com/e/4-day-pmp-live-instructor-led-certification-training-in-garden-grove-ca-tickets-972090949197,USD 1599.00
"career, professional",1006576847447,"In-Person 4 Day PMP Training In Riverside, CA",Learners Ink,2025-07-22 06:00,"22550 Town Circle, Moreno Valley, CA, 92553, US","Professionals undergoing the PMP course gain insights into project governance, including ethical considerations, compliance, and regulatory.",https://www.eventbrite.com/e/in-person-4-day-pmp-training-in-riverside-ca-tickets-1006576847447,USD 1599.00
